,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.1921505977442903, 1.3158689741769944]",[-351.56837405],[7.87162595],"[[ 2.17769673 -2.20676988]
 [-4.97100267 -4.86246215]
 [ 1.37744528  4.4603708 ]
 [ 2.05131661 -1.92545602]
 [-4.95171907 -0.24241465]
 [-2.41699606 -4.7238717 ]]",1038478251.4171634,0,3.4809245701461915,7.215763101439407,[-0.30217356  0.63928956],-359.44,"[[[2.1776967318845113, -2.2067698759035848], [-4.971002668148808, -4.862462150636148], [1.3774452779940614, 4.460370796986725], [2.0513166106646965, -1.9254560202185313], [-4.95171907431104, -0.24241464760066034], [-2.4169960583145365, -4.723871699193594]], [[-2.0516928701709762, -0.567965484021132]], [[-5.0, 1.525228230904534]], [[3.4297188258608777, -5.0]], [[0.24344458434641242, -1.964611132568821]], [[-5.0, 0.4868541190580213]], [[-5.0, 5.0]], [[5.0, -1.1482165709732548]], [[-5.0, 3.674848089264384]], [[5.0, 0.870320090548994]], [[-3.039443153189732, -1.0000632685221174]], [[-1.4061098275996682, -1.133069397467128]], [[-3.0789554841542066, 0.4813109620218443]], [[-0.09919056187055625, 0.898713891499997]], [[-1.856153610391156, 1.8423471853509672]], [[-1.1921505977442903, 1.3158689741769944]], [[0.6749459430524958, 0.004839970396854296]], [[-3.7788839717030216, 2.8617229036246927]], [[5.0, -4.045421665264374]], [[-5.0, -2.959548326680788]], [[1.2362319180702845, -3.583893196866441]], [[3.2080078637286853, 3.197054843951923]], [[-5.0, 4.628525387876618]], [[2.5843929965965904, -2.109396216796619]], [[-0.5245108806218568, 3.7652540655365496]], [[1.9016888488027073, -0.10542940039727502]], [[-4.90363832557858, 0.38971774251852437]]]"
1,"[0.023987287919889282, 0.9842247126948293]",[124.44370755],[0.61370755],"[[ 4.90639536  0.77674053]
 [ 4.46972383  2.86145721]
 [ 1.20830606 -2.72674573]
 [ 4.25447242 -4.74589309]
 [-4.61932211  3.27427669]
 [-1.75365816 -0.16600877]]",1692731721.6631186,1,1.9318391565633988,6.934368143403052,[-0.03006086  0.70646751],123.83,"[[[4.906395363911582, 0.7767405341158327], [4.469723830811384, 2.861457214448457], [1.2083060649203894, -2.726745728393664], [4.254472420400827, -4.745893090260252], [-4.619322107543443, 3.274276692940351], [-1.753658160647249, -0.16600877261502234]], [[0.828927356641479, -0.3729206291979956]], [[-3.415561467940909, -1.9574488065017586]], [[5.0, -1.746236312594781]], [[5.0, 5.0]], [[-5.0, -4.3870955724885485]], [[-1.3697614287365758, -3.5882389215335304]], [[-0.7027783925479849, -1.7040594932419624]], [[1.7459413375850767, 5.0]], [[-2.7033766901428335, -3.0401142520717768]], [[2.784422164362286, 1.3383869232328216]], [[-5.0, -0.5670541927609344]], [[0.7784365555673135, 2.766425836644892]], [[2.6245785041813194, 4.209570385641087]], [[-3.204025152836446, -5.0]], [[0.023987287919889282, 0.9842247126948293]], [[3.1425656817653187, -0.16983693768661443]], [[4.020796240851194, 0.8255848024346386]], [[5.0, 1.4524637973024457]], [[1.4798008444240565, 3.686312301000608]], [[1.1324610312020547, -1.1852780722257004]], [[0.8168307508128861, -0.8197944195164198]], [[-1.0996196184130136, -0.8322199797201628]], [[3.0477248585266317, 0.23408250183535687]], [[-0.15765662832689825, -5.0]], [[1.179032486515688, 2.194295859345011]], [[-1.859535773408687, 1.6337853500912995]]]"
2,"[-0.39367296618061653, -2.5314227796590694]",[56.14662375],[8.63662375],"[[-4.69307481  0.73890085]
 [ 0.33452766 -1.7938654 ]
 [-2.02863933  0.91114073]
 [ 1.4222097   3.83846211]
 [ 3.05118932  2.08809735]
 [-1.78886689 -1.92863215]]",1932472660.8677607,2,1.7690602752166276,5.456664637940026,[ 0.70421685 -0.06386419],47.51,"[[[-4.693074814335228, 0.7389008502280543], [0.3345276643914765, -1.7938653970976217], [-2.0286393300272687, 0.9111407341613065], [1.4222096963246589, 3.838462107967949], [3.0511893242997665, 2.088097345694612], [-1.7888668917790538, -1.9286321475692123]], [[4.576659972530852, 4.066552657714585]], [[-3.489315014381728, -0.939934250469555]], [[-0.38444695304651866, 3.11358878357959]], [[-4.15106231200661, 3.8666669293217675]], [[-3.2243823598295807, -3.5204788546522003]], [[1.4193364025559756, -5.0]], [[-5.0, 3.9051796368428855]], [[-0.9549474738129226, 0.5727440331361267]], [[5.0, -1.9516098768273749]], [[5.0, 1.0602285536805474]], [[1.6480013331885888, 3.6178468539802813]], [[-0.18709671716137097, -5.0]], [[2.219289400514642, 0.02904564998620087]], [[5.0, -5.0]], [[0.2643068744290393, -3.8388847275886917]], [[5.0, -3.3687018942624247]], [[-4.715935178720141, 5.0]], [[-1.1174623388072524, -1.062717782488655]], [[4.237217205194975, -2.5989040482801267]], [[-3.62124523913141, 4.97489348924065]], [[0.2849224155101494, 0.8726059606736951]], [[3.285099710193707, -3.8855102450616408]], [[-2.993762251666695, 2.476462514705446]], [[-0.39367296618061653, -2.5314227796590694]], [[0.07944889122238674, 1.08834722551088]], [[-5.0, 2.028767346573012]]]"
3,"[-2.952905083574854, 0.05479426285630469]",[69.05446896],[13.71446896],"[[ 0.30213161 -3.63808363]
 [ 1.13987668  2.14266693]
 [ 2.38005277 -1.66684624]
 [-4.33738179 -3.92341809]
 [-2.82532149  2.267307  ]
 [-0.30609214  1.05383457]]",1278124957.954505,3,1.307632710833159,5.220612983238873,[-0.67832142 -0.1996999 ],55.34,"[[[0.30213161358007756, -3.6380836323622523], [1.1398766758073524, 2.142666933402131], [2.3800527721378106, -1.6668462373287851], [-4.33738178869277, -3.923418091363046], [-2.825321488862087, 2.267306997697796], [-0.3060921359139499, 1.0538345652880352]], [[4.89616887020115, 3.579683108578326]], [[-2.9070815030359354, 3.578558177348925]], [[3.1730187516577986, 4.674234076807048]], [[-0.9819180074052124, 4.702529812508648]], [[1.8078243952058173, -3.689510504777163]], [[-0.6092008734355404, 3.208989333800816]], [[0.9461061445758888, -0.7059080713839248]], [[1.0170582784683246, -4.591063136769036]], [[1.0980085112279425, 0.652702431363999]], [[-4.135699732173862, 5.0]], [[-1.0390089524746793, 2.454903203140604]], [[4.420364863180583, -5.0]], [[0.47916292827800266, 5.0]], [[-5.0, 2.057795382411603]], [[5.0, -2.8198065130654464]], [[-5.0, 4.33469551398299]], [[-2.952905083574854, 0.05479426285630469]], [[-1.1683500938523073, -0.4704782835115621]], [[1.770776453943152, -0.4126309296549641]], [[4.5810931935091155, 1.992679198087135]], [[-0.7263213197532927, 0.7961496996835704]], [[-3.4855783533488185, 0.8049833610175925]], [[-0.38745895888724846, 1.0019337064696676]], [[-2.2155107795639877, 0.25477647498409633]], [[5.0, -0.3572097775409392]], [[0.6105196809159186, -1.790705367832447]]]"
4,"[-2.34344804112361, -1.9164212084898753]",[-79.48633961],[10.84366039],"[[ 4.93051247  2.68148557]
 [ 1.53619481  0.85551133]
 [ 1.11180321  3.94907919]
 [-0.84012282 -0.63085802]
 [ 2.94381975  0.24640719]
 [-1.99106478  0.93844358]]",728734038.8386139,4,1.251041601260964,5.77571496552695,[-0.43917136  0.55419177],-90.33,"[[[4.930512471656334, 2.6814855701181575], [1.5361948141336796, 0.8555113280303885], [1.111803207170655, 3.9490791860559273], [-0.840122820459853, -0.6308580248200482], [2.9438197468094014, 0.246407185736091], [-1.9910647755142552, 0.9384435845763051]], [[2.6856742953668302, 2.9249857290818415]], [[3.8213446742138704, 0.9811339609094505]], [[4.323735099975746, 0.24986207517859044]], [[-3.2489559988082672, 0.5103984090842424]], [[1.6602924240525012, 0.930220534028277]], [[-5.0, -5.0]], [[-5.0, 2.585357983928903]], [[5.0, -5.0]], [[-3.3821551446577165, 2.0668533955184243]], [[5.0, -2.2029287654613743]], [[0.28577680855107435, -2.2490480966002755]], [[1.0444428846279625, -1.2919695393844866]], [[-5.0, -2.4358610570019743]], [[-2.34344804112361, -1.9164212084898753]], [[-4.038743665165332, 4.901424634684604]], [[-2.527138669522826, -4.371331556001291]], [[-4.580310411097319, 3.092714682684459]], [[1.416288784219014, 0.7915805114422048]], [[0.8159928910284178, 4.295044691000101]], [[-5.0, -1.0266175801734825]], [[-5.0, 1.7543314313214968]], [[-1.6998489183023393, 1.6698037241703285]], [[5.0, -0.6302230796491135]], [[-3.4492052252718945, -3.267337572116269]], [[5.0, -3.057104803145787]], [[-5.0, -1.5567410882683663]]]"
5,"[-0.47401257399323043, -0.8419809160040103]",[65.63616411],[0.02616411],"[[-0.32042271  2.24946002]
 [-3.39404184 -2.16829459]
 [ 2.56312479  2.0126175 ]
 [ 3.64772316  1.95915544]
 [-1.62770267  0.656236  ]
 [-3.55657708  3.00115643]]",687067870.6812092,5,1.7436000800405964,4.780217969319678,[-0.40073477 -0.58259046],65.61,"[[[-0.32042270888536617, 2.249460015302126], [-3.3940418404310604, -2.168294591877624], [2.5631247884631847, 2.012617503284072], [3.647723157961604, 1.9591554448158774], [-1.6277026745669754, 0.6562359990545144], [-3.5565770774265304, 3.001156432570623]], [[-4.631337996344483, -4.447761875479709]], [[-0.38015890001471003, 2.181834217917588]], [[1.248600059665011, -1.189854748554063]], [[5.0, -5.0]], [[0.535243962262975, 0.6158618910351552]], [[5.0, -3.072500689593884]], [[2.0453797483751037, -3.5082205958095884]], [[0.0871577829635701, -5.0]], [[-1.1305430916926742, -5.0]], [[1.357288397840834, 5.0]], [[4.508052614773631, -3.3708805539520132]], [[3.811977290660832, -5.0]], [[-2.1528086370851494, -1.3193003384200241]], [[-0.47401257399323043, -0.8419809160040103]], [[-0.09019214292332815, 0.30218100876903525]], [[0.20911305185847961, -0.6688128601606973]], [[3.4929754052451156, -3.878775753447703]], [[-0.45764462703880104, -3.5398274054446492]], [[-2.6325535561797824, 5.0]], [[0.27478266403913454, 5.0]], [[1.10882202765169, -5.0]], [[0.21761840445305625, 4.73729468016211]], [[2.5670148393230603, -1.735971541253365]], [[-2.8170830328270444, 2.9752045155402183]], [[3.550873718123819, -3.9757794125432833]], [[-2.224662407287057, -1.3933011777304651]]]"
6,"[-4.604440063604672, 0.45445983580842214]",[-288.36653089],[1.71346911],"[[ 4.20363377  1.57825845]
 [ 3.90821797 -3.81647308]
 [-0.10447423 -3.15429968]
 [-0.45691062  2.87252952]
 [-0.09910772 -1.13237298]
 [-0.15818854  1.49486539]]",829138210.6562103,6,1.2401129973394804,6.147500505163127,[-0.61821562  0.3432338 ],-290.08,"[[[4.203633765098543, 1.5782584487669897], [3.9082179724638717, -3.8164730831086446], [-0.10447423185718563, -3.1542996761117434], [-0.45691062206546373, 2.8725295164018414], [-0.09910772417922242, -1.1323729761517223], [-0.15818854323805276, 1.4948653944947745]], [[0.8518711246952504, -1.362304552987781]], [[-0.36401372278236527, -1.132545349438577]], [[4.872709257504529, -3.0438501655686743]], [[-2.1329375673198774, 1.70616980366083]], [[-3.4538780224136865, -3.2060188926268687]], [[-1.4136183660426485, -2.5319961617162487]], [[-3.081493679986168, -5.0]], [[-4.246932450027606, 0.047195915522118145]], [[5.0, -0.29088038095507496]], [[1.912567360240988, 0.40251233175158957]], [[-1.7589536113538917, 0.4096071816565168]], [[5.0, 5.0]], [[-5.0, 5.0]], [[-5.0, -4.509452323944963]], [[5.0, 3.1124068160797274]], [[-3.4641990150639033, -3.9262419919737996]], [[-2.4207919984804556, -3.2798030030485927]], [[-1.125721343695804, -0.17497964284587522]], [[1.648598511952117, -0.7890613277687673]], [[3.340635918831649, -1.6872285669498024]], [[5.0, 3.9194976092802567]], [[3.561257769159554, -2.1565222326953446]], [[-5.0, 0.2811703127966505]], [[-0.8526061848702944, -2.2439632048228333]], [[-4.604440063604672, 0.45445983580842214]], [[2.7642069986901983, 3.0100856306243253]]]"
7,"[0.1243168881513515, 0.04605076440826882]",[27.34811344],[2.24811344],"[[-0.96017593 -0.98613189]
 [ 4.5830758   3.9427258 ]
 [-2.20839519  3.18742013]
 [ 1.70437187  2.6716461 ]
 [ 0.17073072  4.19773334]
 [-4.16112116  2.475323  ]]",1062055307.310981,7,1.2040954841689346,6.468511737229138,[-0.68234872  0.18547298],25.1,"[[[-0.9601759312522873, -0.9861318902502063], [4.583075797036052, 3.942725803199046], [-2.208395190882695, 3.1874201320469204], [1.7043718746616108, 2.6716461035322636], [0.17073072369622722, 4.197733342609176], [-4.1611211571219595, 2.475323002129742]], [[-3.510717130359524, -0.9799723496328063]], [[4.804857665771454, 3.374516234289885]], [[1.782596484645532, 2.587481678797642]], [[-2.355636271126765, -2.1565396780914514]], [[2.9319421120151556, -2.3387692001782927]], [[-5.0, -4.394652343123713]], [[-0.7978187365748215, -5.0]], [[-2.2873495871496727, -1.3488511051595753]], [[2.5948704107882157, -0.23721730532495414]], [[-5.0, -2.6461010248031105]], [[0.1243168881513515, 0.04605076440826882]], [[5.0, -5.0]], [[-2.8669750108928747, -5.0]], [[-1.6302428504416435, 0.5269911291976495]], [[-0.13995412450398345, 0.8163775253264255]], [[-1.9839994057054835, -4.106706803313898]], [[0.72775416151905, -1.706201019861877]], [[3.5021714272303828, 0.34884664033004703]], [[-1.5228248186916342, 0.007016958651194288]], [[3.489322648084819, -0.8038846587197979]], [[3.8626972733042546, 1.1297128273056423]], [[-4.872583227479814, 5.0]], [[-3.8726351084392916, 0.23836660890330857]], [[-0.6268857495612157, -3.0255048713347974]], [[2.560222585175654, 4.0032649833232075]], [[-3.8113141917597537, 3.7339351658831053]]]"
8,"[-1.7104302595407161, 5.0]",[-85.66119815],[1.89880185],"[[-1.64600064 -1.33603092]
 [ 0.29008312  0.69345627]
 [-4.8885268   1.39505928]
 [-3.61585297 -4.73575998]
 [ 3.78125276 -0.12267557]
 [ 2.23373801 -3.1109198 ]]",1672650011.5963335,8,0.21796430232217523,6.5716990012865875,[0.07234558 0.70339613],-87.56,"[[[-1.6460006370041746, -1.3360309202379614], [0.29008312277971626, 0.6934562730178095], [-4.888526802718055, 1.3950592750560862], [-3.6158529676722106, -4.735759981793328], [3.781252759546165, -0.12267557148794417], [2.233738014953124, -3.1109197999510965]], [[-2.315661055377748, 0.22005730799002074]], [[-5.0, -2.271520218362756]], [[-3.147373935118334, 1.968364503147181]], [[-4.96343480775475, 4.9171459891390485]], [[-2.8903031680394804, -3.480919339675171]], [[1.8859663308093562, 4.27257427819916]], [[-3.586438621699913, -0.7354691453440602]], [[3.4478361623971674, -1.668791237243188]], [[5.0, 1.7970187859576567]], [[-0.25026436305996136, -0.681280015579782]], [[1.1807371554491282, -2.383978016493879]], [[-2.2046643613449413, 1.0968805496961693]], [[-5.0, 2.991688697264944]], [[-0.5681052934921555, 0.386376555434352]], [[2.1376514333762193, -5.0]], [[-1.0702766628126137, 5.0]], [[5.0, -5.0]], [[-1.8062715586111033, -1.9495394345784653]], [[-2.5465119451407445, 5.0]], [[-3.6381605888034496, 4.082793241246388]], [[4.335598345836364, -3.312390009966259]], [[-1.7104302595407161, 5.0]], [[-0.9182276261232722, 4.3380060734355865]], [[0.4186831090751788, -4.3580612940892784]], [[4.808020090414081, -3.9777970274743515]], [[2.6055590243846076, 2.495370183466976]]]"
9,"[0.7844002991711077, 0.4513430693701913]",[62.67800363],[2.60800363],"[[-2.77556789 -0.61921798]
 [-4.49247998 -0.42461556]
 [ 0.52045941 -1.04990629]
 [ 0.03750808 -3.51764294]
 [ 3.308823   -2.5114789 ]
 [ 1.4063185   4.22498502]]",1019178916.1179141,9,1.398873469473202,4.953037204378963,[-0.64858395 -0.28167155],60.07,"[[[-2.775567887651725, -0.6192179842707404], [-4.492479976601511, -0.42461556229256914], [0.5204594111765113, -1.0499062912550041], [0.037508083566498485, -3.5176429363269577], [3.3088229956844515, -2.511478903359837], [1.406318502296382, 4.22498501974194]], [[-4.873878368516069, 0.30242226915129855]], [[5.0, 1.5505134665980915]], [[5.0, -5.0]], [[5.0, 0.14277296917309784]], [[-5.0, 0.6627894331533921]], [[-5.0, -0.9041584906992479]], [[5.0, -0.8337415421901965]], [[5.0, 2.9829746053291717]], [[-2.3834242685818854, -0.16449349936636964]], [[-5.0, 5.0]], [[5.0, -1.9125174325668266]], [[5.0, 5.0]], [[-5.0, 3.951547563445578]], [[-1.623180772527782, 3.2826397343945475]], [[-3.0741180338890732, 4.627102029641823]], [[1.2035215586926253, 1.3322822264972243]], [[-2.141957046287112, 3.8119060805169807]], [[0.37106596467372954, -0.3072544540284142]], [[-0.28133979896064715, 2.6390943318522018]], [[1.6988182993459293, 0.0713438798539487]], [[0.7844002991711077, 0.4513430693701913]], [[-5.0, -5.0]], [[-1.6705482546970871, 3.370298132507463]], [[-1.0413628838002797, -0.6896284063996752]], [[-3.4888337485906322, 1.5391298440062637]], [[-4.088853184255041, 5.0]]]"
10,"[0.11054755732519363, 3.180108918870426]",[-135.68964505],[0.94035495],"[[-3.2572267  -0.23036845]
 [-1.51057051  2.22433397]
 [ 0.31135363  1.96621813]
 [ 4.90716407  1.33371289]
 [ 1.00135199  0.67529417]
 [ 1.08741562 -0.20840867]]",1196590526.941505,10,1.2239012144640695,5.172315222117016,[-0.22254229  0.67117429],-136.63,"[[[-3.2572266986844403, -0.23036844962431502], [-1.510570513392857, 2.2243339692411404], [0.3113536318990553, 1.9662181311275457], [4.90716407472047, 1.3337128911740983], [1.0013519928989147, 0.6752941716664509], [1.0874156221026325, -0.2084086713823199]], [[-2.8238874189760512, -2.5091100923965426]], [[1.0058125141730296, -0.0981719792970664]], [[-0.4653260919952883, -3.8830909628851598]], [[-0.03440108682429926, 4.619600683829322]], [[-3.7202655508522335, -5.0]], [[1.8308663301948642, 3.919179801062917]], [[4.096450548835163, -4.5127219490354875]], [[-4.056773448812617, 5.0]], [[5.0, 5.0]], [[1.2954795655701226, 5.0]], [[-1.6316201720736137, -5.0]], [[-5.0, -2.9043534553887267]], [[-1.1179675666497662, -2.5160132067390943]], [[5.0, 3.3025687580897016]], [[0.11054755732519363, 3.180108918870426]], [[-1.973056181844204, -3.740052539806503]], [[-0.5443753026827006, 1.058432814833208]], [[2.010281450861351, 1.632588194730519]], [[0.2157290316203655, -0.18310914961277458]], [[4.253596797298126, 2.4909803064621436]], [[4.8873474328655355, 2.722372094967053]], [[-0.1583544043841262, -1.403586784463487]], [[4.336289819292501, 4.026192397825732]], [[4.801321078709108, 3.0403136125373433]], [[2.1240363162931297, 1.809582423275511]], [[-1.2290313350624007, 4.829950414885058]]]"
11,"[-3.1940587131667573, 0.07185735802125001]",[171.41582136],[7.48582136],"[[-4.48639366  0.53133549]
 [-0.16721657 -1.88379958]
 [ 0.34298911 -0.10568583]
 [-0.00451976 -3.86506356]
 [-4.1425476   2.36002497]
 [ 1.85282045  1.9309371 ]]",1681853265.7834651,11,0.7137961498068897,5.118678385935342,[-0.04354737 -0.70576457],163.93,"[[[-4.486393657241692, 0.5313354876168033], [-0.16721657460003403, -1.883799582380247], [0.3429891110804082, -0.10568583260298947], [-0.0045197575885218555, -3.8650635594850247], [-4.142547604875136, 2.360024974792559], [1.8528204488385196, 1.9309371024011002]], [[-0.10697208672228231, 0.3029055104631245]], [[1.5917500065741246, 1.9687606852301502]], [[3.908904549165507, 0.09175147725556008]], [[-0.8047406768820649, -0.8098847290207956]], [[3.0309005754340284, 3.528736346365969]], [[-5.0, -0.7358946369914537]], [[-5.0, -5.0]], [[5.0, -5.0]], [[-2.1445483784603248, -5.0]], [[5.0, 2.501652040210315]], [[0.8897381180968851, 5.0]], [[5.0, 5.0]], [[3.108629232340106, 5.0]], [[-3.1940587131667573, 0.07185735802125001]], [[-1.5169164202664185, -3.767793616540611]], [[-4.236933085304657, -0.39774873717839476]], [[2.557844528662935, -4.793385655785304]], [[0.7658620691455141, 4.629987556592664]], [[2.099298670997002, -4.38547767172188]], [[0.3530060220564708, 4.611858367869115]], [[-0.7858275524596063, -1.3097660236801278]], [[1.9891424479686541, 5.0]], [[-3.2986939100583226, -5.0]], [[-1.400983582551628, -0.8264318890473814]], [[-3.4354042996876326, -3.4818379416716305]], [[2.9587795494510565, 1.1618881375731303]]]"
